trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.95}",20,0,-140.38547381557643,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.9}",20,0,-155.58541851044308,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.85}",35,0,-176.25011778656713,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.8}",25,0,-89.86497921323989,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.75}",20,0,-108.6655710478369,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.7}",20,0,-89.42589049976729,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.6499999999999999}",25,0,-140.59335065181565,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.6}",25,2,-40.499426945166455,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.55}",25,0,-217.98133779509146,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 5}",0
10,False,"{'a': 0.1, 'e': 0.5}",20,0,-46.60157871833793,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.44999999999999996}",20,0,-133.65106138036455,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.3999999999999999}",20,0,-55.96533730451188,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.35}",20,11,-24.41934423636554,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.29999999999999993}",25,0,-103.97089262852462,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.1, 'e': 0.25}",20,7,-36.65376604425358,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.1, 'e': 0.19999999999999996}",25,0,-117.15881795248201,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.1499999999999999}",25,0,-65.69195105554691,"{0: 18, 1: 1, 2: 3, 3: 3, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.09999999999999998}",30,0,-144.5260021604551,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.04999999999999993}",30,0,-236.0779876283273,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 4}",0
20,False,"{'a': 0.1, 'e': 0.0}",30,0,-50.113927477935256,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-158.25027220094748,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-182.35622193100414,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-98.24875680177114,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-111.12255088610497,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",30,0,-139.9618984015799,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-199.4810306743499,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-81.55016712594586,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-135.0390699932462,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,10,-9.814047558919588,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-108.23303146446588,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
