trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9900498337491681}",25,4,-120.84130128147888,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.3, 'e': 0.9801986733067554}",20,4,-51.54205381931892,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.3, 'e': 0.9704455335485082}",25,0,-225.70460944374923,"{0: 7, 1: 5, 2: 9, 3: 2, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.9607894391523232}",25,0,-31.836885853388996,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.3, 'e': 0.9512294245007139}",35,1,-149.13334751540518,"{0: 24, 1: 2, 2: 5, 3: 0, 4: 3}",1
6,False,"{'a': 0.3, 'e': 0.9417645335842487}",20,0,-147.7117666950934,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.9323938199059482}",30,0,-91.2607695365048,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9231163463866358}",20,0,-89.30361295497183,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.3, 'e': 0.9139311852712282}",20,0,-36.025305979718674,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,2,-28.18502965540671,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.3, 'e': 0.8958341352965282}",20,0,-82.88416048676947,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-45.416701177507754,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.3, 'e': 0.8780954309205614}",25,0,-291.652890584987,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 5}",0
14,False,"{'a': 0.3, 'e': 0.8693582353988057}",20,0,-23.03357874423233,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.3, 'e': 0.8607079764250578}",35,15,-65.73164038850648,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",1
