trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-209.71393480441176,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.44226789135625,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.40713866574468,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.9740006238183,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.464560676225677,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-105.30893366938412,"{0: 20, 1: 5, 2: 10, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.12053040052785,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.79901873418635,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.67910884996567,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,12,-74.89893333215218,"{0: 6, 1: 3, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.4333468192657,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.43543499846155,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.69841913221995,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.5028815153647,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.24212440267443,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.853463468080875,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-153.51445567731633,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.77592888099582,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.05919627780706,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.0893592091993,"{0: 17, 1: 1, 2: 8, 3: 1, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.68993885759676,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.1160317502149,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.3522532295867,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-206.21997507391674,"{0: 6, 1: 5, 2: 5, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.35887336336705,"{0: 10, 1: 6, 2: 2, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-151.5706574303882,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,7,-9.042100374330055,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.03976113515559,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.00698544891566,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,1,-78.50165338502893,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 0}",1
